Accuracy,images,recall,f1,precision,Methods,images
97.2,Image1,94.555,94.0925,93.6625,SVM+RGB,Image1
96.46,Image1,92.945,92.5325,88.2375,SVM+RGB+GLCM(3),Image1
97.09,Image1,94.1275,93.905,93.6925,SVM+HSV,Image1
96.4,Image1,94.16,92.4475,90.9,SVM+HSV+RGB,Image1
95.5,Image1,90.47,90.835,91.4275,SVM+HSV+GLCM(3),Image1
92.44,Image1,63.32,62.5825,62.0225,ELM+RGB,Image1
95.05,Image1,64.9,64.4225,63.98,ELM+HSV,Image1
57.95,Image1,21.1,21.325,21.55,ELM+RGB+GLCM(7),Image1
63.54,Image2,53.225,56.7775,73.7875,SVM+RGB,Image2
56.01,Image2,62.885,58.8775,69.105,SVM+RGB+GLCM(3),Image2
87.24,Image2,86.08,85.3925,85.82,SVM+HSV,Image2
64.85,Image2,69.3,66.7675,76.285,SVM+HSV+RGB,Image2
85.75,Image2,85.4275,83.565,82.595,SVM+HSV+GLCM(3),Image2
76.34,Image2,48.6775,47.925,50.71,ELM+RGB,Image2
85.41,Image2,53.725,53.5275,53.6325,ELM+HSV,Image2
72.75,Image2,49.1575,47.175,49.705,ELM+RGB+GLCM(7),Image2
96.13,Image3,85.1225,41.68,89.885,SVM+RGB,Image3
96.67,Image3,78.4675,83.69,91.7825,SVM+RGB+GLCM(3),Image3
95.34,Image3,74.085,77.9525,87.5575,SVM+HSV,Image3
95.1,Image3,70.3775,76.97,91.125,SVM+HSV+RGB,Image3
95.27,Image3,74.7925,78.7475,87.46,SVM+HSV+GLCM(3),Image3
93.33,Image3,52.475,54.1575,56.34,ELM+RGB,Image3
94.24,Image3,54.2775,55.5425,57.0175,ELM+HSV,Image3
91.34,Image3,42.095,43.91,46.7075,ELM+RGB+GLCM(7),Image3
